"","region.name","percent.precincts.suspicious","additional.precincts.suspicious","n.precincts","total.count.suspicious"
"1","Altajskij kraj – Barnaul'",2.19,93,512,102.1761
"2","Altajskij kraj – Bij",0.27,89,438,89.9423
"3","Altajskij kraj – Rubcov",0,86,434,86
"4","Altajskij kraj – Slavgorod",2.64,119,498,129.0056
"5","Âmalo-Neneckij avtonomnyj okrug – Âmalo-Nene",0,74,227,74
"6","Amurskaâ oblast' – Amur",0,202,765,202
"7","Arhangel'skaâ oblast' – Arhangel'",0,104,398,104
"8","Arhangel'skaâ oblast' – Kotlas",0.65,112,544,114.808
"9","Âroslavskaâ oblast' – Âroslav",0,34,417,34
"10","Âroslavskaâ oblast' – Rostov",0,58,460,58
"11","Astrahanskaâ oblast' – Astrahan",0,130,618,130
"12","Belgorodskaâ oblast' – Belgorod",0.48,166,554,167.8624
"13","Belgorodskaâ oblast' – Starooskol'",0,213,697,213
"14","Brânskaâ oblast' – Brân",2.35,238,613,246.8125
"15","Brânskaâ oblast' – Unec",1.21,165,512,169.1987
"16","Cecenskaâ Respublika – Cecen",0,0,468,0
"17","Celâbinskaâ oblast' – Celâbin",1.31,15,469,20.9474
"18","Celâbinskaâ oblast' – Korkin",0,83,419,83
"19","Celâbinskaâ oblast' – Magnitogor",0,115,520,115
"20","Celâbinskaâ oblast' – Metallurgice",2.12,36,414,44.0136
"21","Celâbinskaâ oblast' – Zlatoustov",1.88,13,476,21.7044
"22",NA,NA,NA,NA,NA
"23","Cuvašskaâ Respublika – Cuvašiâ – Ceboksar",0.65,258,553,259.9175
"24","Cuvašskaâ Respublika – Cuvašiâ – Kanaš",1.19,351,631,354.332
"25","Evrejskaâ avtonomnaâ oblast' – Evrej",0,77,169,77
"26","Gorod Moskva – Babuškin",0,9,241,9
"27","Gorod Moskva – Central",0,38,251,38
"28","Gorod Moskva – Ceremuškin",0,12,265,12
"29","Gorod Moskva – Certanov",0,4,228,4
"30","Gorod Moskva – Hovrin",0,10,266,10
"31","Gorod Moskva – Kuncev",0,10,237,10
"32","Gorod Moskva – Leningrad",0.92,16,229,17.9596
"33","Gorod Moskva – Lûblin",5.01,7,232,18.2725
"34","Gorod Moskva – Medvedkov",0,5,196,5
"35","Gorod Moskva – Nagatin",0,21,256,21
"36","Gorod Moskva – Novomoskov",1.72,7,263,11.4032
"37","Gorod Moskva – Orehovo-Borisov",0,9,226,9
"38","Gorod Moskva – Perov",0,9,242,9
"39","Gorod Moskva – Preobražen",0,14,247,14
"40","Gorod Moskva – Tušin",0,23,241,23
"41","Gorod Sankt-Peterburg – Central",0,10,253,10
"42","Gorod Sankt-Peterburg – Seve",0,16,247,16
"43","Gorod Sankt-Peterburg – Severo-Vosto",0,14,233,14
"44","Gorod Sankt-Peterburg – Severo-Zapa",0,9,248,9
"45","Gorod Sankt-Peterburg – Û",0.78,23,351,25.5428
"46","Gorod Sankt-Peterburg – Ûgo-Vosto",0,9,211,9
"47","Gorod Sankt-Peterburg – Vosto",0,11,212,11
"48","Gorod Sankt-Peterburg – Zapa",0,7,251,7
"49","Gorod Sevastopol' – Sevastopol'",0,18,191,18
"50","Habarovskij kraj – Habarov",0,155,452,155
"51","Habarovskij kraj – Komsomol'",0,170,372,170
"52","Hanty-Mansijskij avtonomnyj okrug – Ûgra – Hanty-Mansij",0,93,387,93
"53","Hanty-Mansijskij avtonomnyj okrug – Ûgra – Nižnevartov",0,30,315,30
"54","Irkutskaâ oblast' – Angar",0,88,401,88
"55","Irkutskaâ oblast' – Brat",1.44,153,442,157.1472
"56","Irkutskaâ oblast' – Irkut",0,200,559,200
"57","Irkutskaâ oblast' – Šelehov",0.88,119,554,122.828
"58","Ivanovskaâ oblast' – Ivanov",0,50,426,50
"59","Ivanovskaâ oblast' – Kinešem",0.99,52,374,55.1878
"60","Kabardino-Balkarskaâ Respublika – Kabardino-Balkar",7.2,76,354,96.016
"61","Kaliningradskaâ oblast' – Central",0.59,24,314,25.7051
"62","Kaliningradskaâ oblast' – Kaliningrad",0,23,275,23
"63","Kalužskaâ oblast' – Kaluž",0,103,349,103
"64","Kalužskaâ oblast' – Obnin",0,147,383,147
"65","Kamcatskij kraj – Kamcat",0,167,301,167
"66","Karacaevo-Cerkesskaâ Respublika – Karacaevo-Cerkes",13.04,66,249,89.8632
"67","Kemerovskaâ oblast' – Kemerov",0,202,532,202
"68","Kemerovskaâ oblast' – Novokuzne",2.66,76,326,82.65
"69","Kemerovskaâ oblast' – Prokop'ev",0,223,407,223
"70","Kemerovskaâ oblast' – Zavod",1.49,264,496,267.4568
"71","Kirovskaâ oblast' – Kirov",0.94,260,575,262.961
"72","Kirovskaâ oblast' – Kirovo-Cepe",0.53,237,608,238.9663
"73","Kostromskaâ oblast' – Kostrom",1.99,130,600,139.353
"74","Krasnoârskij kraj – Central",1.99,50,361,56.1889
"75","Krasnoârskij kraj – Divnogor",0.86,136,635,140.2914
"76","Krasnoârskij kraj – Enisej",0.84,284,724,287.6792
"77","Krasnoârskij kraj – Krasnoâr",0,106,476,106
"78","Krasnodarskij kraj – Armavir",2,164,435,169.42
"79","Krasnodarskij kraj – Kanev",0,122,391,122
"80","Krasnodarskij kraj – Krasnoarmej",0.78,33,284,34.9578
"81","Krasnodarskij kraj – Krasnodar",0,44,240,44
"82","Krasnodarskij kraj – Slavân",0,89,301,89
"83","Krasnodarskij kraj – Socin",0.98,73,353,75.744
"84","Krasnodarskij kraj – Tihore",1.26,162,384,164.7972
"85","Krasnodarskij kraj – Tuapsin",0,78,362,78
"86","Kurganskaâ oblast' – Kurgan",1.07,395,992,401.3879
"87","Kurskaâ oblast' – Kur",0.52,2,505,4.6156
"88","Kurskaâ oblast' – Sejm",1.42,8,656,17.2016
"89","Leningradskaâ oblast' – Kingisepp",0,30,293,30
"90","Leningradskaâ oblast' – Volhov",0,62,347,62
"91","Leningradskaâ oblast' – Vsevolož",0.38,80,336,80.9728
"92","Lipeckaâ oblast' – Levobere",0,49,462,49
"93","Lipeckaâ oblast' – Lipe",0.7,82,453,84.597
"94","Magadanskaâ oblast' – Magadan",10.8,89,107,90.944
"95","Moskovskaâ oblast' – Balašihin",0,6,288,6
"96","Moskovskaâ oblast' – Dmitrov",0.56,10,330,11.792
"97","Moskovskaâ oblast' – Kolomen",0.29,27,372,28.0005
"98","Moskovskaâ oblast' – Krasnogor",1.69,25,367,30.7798
"99","Moskovskaâ oblast' – Lûbere",0,3,347,3
"100","Moskovskaâ oblast' – Odincov",0,29,360,29
"101","Moskovskaâ oblast' – Orehovo-Zuev",0.38,42,303,42.9918
"102","Moskovskaâ oblast' – Podol'",1.49,9,286,13.1273
"103","Moskovskaâ oblast' – Selkov",0,9,326,9
"104","Moskovskaâ oblast' – Sergievo-Posad",0,20,318,20
"105","Moskovskaâ oblast' – Serpuhov",0,11,328,11
"106","Murmanskaâ oblast' – Murman",0.85,70,581,74.318
"107",NA,NA,NA,NA,NA
"108","Nižegorodskaâ oblast' – Avtozavod",0,73,444,73
"109","Nižegorodskaâ oblast' – Bor",0.67,269,539,270.809
"110","Nižegorodskaâ oblast' – Kanavin",1.62,27,308,31.5522
"111","Nižegorodskaâ oblast' – Nižegorod",0,311,725,311
"112","Nižegorodskaâ oblast' – Priok",0,78,439,78
"113","Novgorodskaâ oblast' – Novgorod",0,161,544,161
"114","Novosibirskaâ oblast' – Barabin",0,121,482,121
"115","Novosibirskaâ oblast' – Central",1.61,100,448,105.6028
"116","Novosibirskaâ oblast' – Iskitim",1.42,171,509,175.7996
"117","Novosibirskaâ oblast' – Novosibir",3.7,128,592,145.168
"118","Omskaâ oblast' – Lûbin",0,370,832,370
"119","Omskaâ oblast' – Moskalen",1.75,163,486,168.6525
"120","Omskaâ oblast' – Om",1.96,129,490,136.0756
"121","Orenburgskaâ oblast' – Buguruslan",0,226,658,226
"122","Orenburgskaâ oblast' – Or",0,264,561,264
"123","Orenburgskaâ oblast' – Orenburg",0,281,547,281
"124","Orlovskaâ oblast' – Orlov",0.73,471,736,472.9345
"125","Penzenskaâ oblast' – Lermontov",1.25,279,565,282.575
"126","Penzenskaâ oblast' – Penzen",1.27,257,540,260.5941
"127","Permskij kraj – Cusov",0,34,403,34
"128","Permskij kraj – Kudymkar",1.03,107,544,111.5011
"129","Permskij kraj – Kungur",0,53,440,53
"130","Permskij kraj – Perm",1.34,33,451,38.6012
"131","Primorskij kraj – Arsen'ev",0.5,202,594,203.955
"132","Primorskij kraj – Artemov",0,39,379,39
"133",NA,NA,53,NA,NA
"134",NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA
