"","region.name","percent.precincts.suspicious","additional.precincts.suspicious","n.precincts","total.count.suspicious"
"1","Altajskij kraj",0.8,387,1882,398.928
"2","Âmalo-Neneckij avtonomnyj okrug",0,74,227,74
"3","Amurskaâ oblast'",0,202,765,202
"4","Arhangel'skaâ oblast'",1.6,216,942,227.472
"5","Âroslavskaâ oblast'",1.12,92,877,100.7808
"6","Astrahanskaâ oblast'",0,130,618,130
"7","Belgorodskaâ oblast'",0.61,379,1251,384.307
"8","Brânskaâ oblast'",1.47,403,1125,413.5987
"9","Cecenskaâ Respublika",19.29,0,468,18.5184
"10","Celâbinskaâ oblast'",1.16,262,2298,285.49
"11",NA,NA,NA,NA,NA
"12","Cuvašskaâ Respublika",1.17,609,1184,615.6807
"13","Evrejskaâ avtonomnaâ oblast'",1.89,77,169,78.7388
"14","Gorod Moskva",0.12,194,3620,198.11
"15","Gorod Sankt-Peterburg",0.49,99,2006,108.2365
"16","Gorod Sevastopol'",0,18,191,18
"17","Habarovskij kraj",0,324,824,324
"18","Hanty-Mansijskij avtonomnyj okrug",1.16,123,702,129.7048
"19","Irkutskaâ oblast'",0,560,1956,560
"20","Ivanovskaâ oblast'",0,102,800,102
"21","Kabardino-Balkarskaâ Respublika",11.04,76,354,106.36
"22","Kaliningradskaâ oblast'",0.48,47,589,49.5824
"23","Kalužskaâ oblast'",1.51,250,732,257.2631
"24","Kamcatskij kraj",0,167,301,167
"25","Karacaevo-Cerkesskaâ Respublika",21.98,66,249,106.2234
"26","Kemerovskaâ oblast'",1.23,753,1761,765.1155
"27","Kirovskaâ oblast'",0,497,1183,497
"28","Kostromskaâ oblast'",0,130,600,130
"29","Krasnoârskij kraj",0.06,576,2196,576.957
"30","Krasnodarskij kraj",0.76,765,2750,780.0556
"31","Kurganskaâ oblast'",0.79,395,992,399.7084
"32","Kurskaâ oblast'",0.94,10,1161,20.763
"33","Leningradskaâ oblast'",0,172,976,172
"34","Lipeckaâ oblast'",0,131,915,131
"35","Magadanskaâ oblast'",0,89,107,89
"36","Moskovskaâ oblast'",0.03,191,3625,192.029
"37","Murmanskaâ oblast'",0.73,70,581,73.5916
"38",NA,NA,NA,NA,NA
"39","Nižegorodskaâ oblast'",0.06,758,2455,759.0074
"40","Novgorodskaâ oblast'",0.5,161,544,162.905
"41","Novosibirskaâ oblast'",1.45,520,2031,541.866
"42","Omskaâ oblast'",0.34,662,1808,665.8862
"43","Orenburgskaâ oblast'",0.62,771,1766,777.1256
"44","Orlovskaâ oblast'",0,471,736,471
"45","Penzenskaâ oblast'",0.18,536,1105,537.0116
"46","Permskij kraj",1.5,227,1838,251.105
"47","Primorskij kraj",0.6,284,1488,290.906
"48","Pskovskaâ oblast'",0,95,639,95
"49","Râzanskaâ oblast'",0,273,1028,273
"50","Respublika Adygeâ (Adygeâ)",0,70,263,70
"51","Respublika Altaj ",0,48,242,48
"52","Respublika Baškortostan",0,1974,3426,1974
"53","Respublika Burâtiâ",3.11,84,839,107.4183
"54","Respublika Dagestan",1.51,151,1914,172.8497
"55","Respublika Hakasiâ",0,137,393,137
"56","Respublika Ingušetiâ",32.51,9,136,49.3124
"57","Respublika Kalmykiâ",3.05,173,251,175.379
"58","Respublika Kareliâ",0,82,469,82
"59","Respublika Komi",0,88,669,88
"60","Respublika Krym",2.29,57,1207,83.1289
"61","Respublika Marij Él",0,212,531,212
"62","Respublika Mordoviâ",0,562,803,562
"63","Respublika Saha (Âkutiâ)",0,405,811,405
"64","Respublika Severnaâ Osetiâ",0,71,378,71
"65","Respublika Tatarstan (Tatarstan)",2.14,1621,2824,1645.717
"66","Respublika Tyva",0,154,183,154
"67","Rostovskaâ oblast'",0,541,2632,541
"68","Sahalinskaâ oblast'",1.66,55,473,60.9428
"69","Samarskaâ oblast'",0.09,650,1776,651.008
"70","Saratovskaâ oblast'",0,732,1890,732
"71","Smolenskaâ oblast'",0.51,253,809,255.8356
"72",NA,NA,213,NA,NA
"73",NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA
